	Wil J7	Wil J30	Wil J90	Wil eutha	Shep J7	Shep J30	Shep J90	Shep eutha	Monk J7	Monk J30	Monk J90	Monk eutha	Walc J7	Walc J30	Walc J90	Walc eutha	Rub J7	Rub J30	Rub J90	Rub eutha	Woo J7	Woo J30	Woo eutha
CD70	-2.2616	1.4479	1.2377	-1.3838	1.2429	1.5674	-8.4327	3.1001	4.1921	1.9775	-1.6939	1.158	3.548	-2.6734	-2.051	1.4025	5.3147	-1.528	-1.7785	1.4835	1.7108	-2.4691	2.2279
CSF1	-2.1292	1.181	1.508	-1.2489	1.4456	3.0175	1.9807	2.7384	1.0933	1.776	4.3129	-2.7251	1.0021	-3.955	1.8669	1.6725	2.7683	1.4675	1.6625	2.0577	-1.4423	-1.2286	1.4526
CSF2	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.2936	0	0	0	0	0	0	0	0	0
CX3CL1	-1.3244	-1.1243	-1.3253	-1.6502	-1.7307	-1.0372	-1.0585	1.318	1.3432	1.4801	1.7179	-6.0853	1.215	-2.4363	1.6978	-1.0658	1.3086	2.6802	1.6305	1.3287	-1.5287	1.3177	1.073
CX3CR1	-1.1402	-1.5988	-1.5859	-1.9912	-2.1891	-2.739	-1.2303	-1.0322	1.1397	-1.8691	1.1225	1.5408	1.5476	2.26	-1.24	-1.7065	-1.0338	2.7594	-1.2876	1.3976	1.2515	-1.7005	-1.3098
CXCL11	1.4842	1.8817	4.3792	-3.9468	-2.1145	7.3225	3.158	1.8626	1.1612	18.3241	64.6092	10.0747	3.7166	3.5488	30.393	5.7637	2.3571	38.6751	23.89	8.1965	2.6808	77.0648	7.7418
CXCL12	1.1799	1.3746	1.1271	1.2469	1.4022	-1.1437	1.1892	1.01	1.0025	-1.4463	1.5677	1.0978	1.1243	-1.9435	1.1381	-1.041	1.0614	-1.2156	-1.0025	1.0475	1.0012	-1.1134	1.0236
CXCL13	0	5.4831	1.4436	0	-1.1308	3.2633	7.8028	34.6392	0	0	7.8173	22.4971	0	-54.5182	2.158	1.8777	-6.9837	8.4288	8.6718	12.711	0	-1.0747	10.3795
CXCL6	0	0	0	1.6857	0	0	0	0	0	0	0	-2.1248	0	-47.4609	0	0	0	0	0	0	0	0	0
CXCL9	-1.0269	7.8517	9.2386	-1.7797	-1.5447	24.5106	11.6157	4.7778	6.5281	20.6729	38.8183	43.7335	4.2901	1.5161	1424.9214	13.1319	2.2736	152.6764	311.7689	49.2141	2.0246	239.5196	56.7546
CXCR1	0	0	0	0	2.096	1.8743	-1.2843	0	0	0	-1.4038	-1.7343	1.455	0	1.0895	0	2.6759	0	0	0	0	0	-1.2927
CXCR4	-1.1052	17.0535	3.3119	-1.3229	1.3714	2.0724	2.4606	2.4138	1.2822	-1.145	11.5168	15.2598	1.9793	-9.105	2.7908	1.5465	-1.4814	1.9757	-1.0415	2.7321	-1.6787	1.2959	2.3894
FASLG	0	31.1034	3.9991	-1.3385	3.5349	6.0643	1.5703	2.0354	1.3247	6.2709	11.6614	2.0758	0	-3.5842	11.8734	4.7535	0	5.7173	7.8753	9.4807	0	3.2671	19.9964
IFNA2	1.248	0	-1.6521	-2.2684	-1.0646	1.2263	-16.3023	-2.248	1.0641	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNG	0	8.6578	2.0472	-1.0109	0	2.3658	6.8258	3.5439	0	12.2157	15.281	1.3819	0	0	13.0653	0	0	14.2742	16.6141	1.2631	0	2.5937	3.8468
IL10RA	-2.1028	5.3517	3.8736	-1.1155	2.308	5.8213	6.489	3.87	-1.4254	10.5536	33.4206	1.0956	2.0042	-7.2837	5.8065	1.5801	1.4459	7.5545	5.1634	3.668	-1.2246	2.2579	3.289
IL10RB	-1.1152	2	-1.1658	-1.9995	1.0466	1.3692	2.4334	1.2391	1.2106	1.7958	4.2861	2.2778	1.1227	-3.0518	1.6652	1.1479	-1.1942	1.4028	1.1707	1.6598	-1.2111	1.2649	1.8121
IL11RA	-1.0248	1.3333	-1.3429	-1.6468	-1.3485	-1.0887	1.0504	-1.2956	1.1201	-1.0743	-1.0983	-1.3816	-1.0189	-2.0572	-1.3683	-1.1892	1.3013	-1.7748	-1.2139	-1.3342	1.0012	-1.2449	1.0123
IL12B	0	8.7665	1.9462	0	0	1.674	7.3717	4.7152	0	0	5.7186	1.9075	0	-1.3469	6.3938	0	0	2.1982	4.3691	3.0525	0	1.0203	7.5825
IL12RB1	-1.3457	-1.4856	-4.6827	-1.408	-1.4333	1.3299	-2.117	2.3658	-1.9404	-6.0517	2.5538	-3.483	-1.1034	-2.1866	1.7724	-1.6189	1.1034	1.8167	2.6672	1.1103	-1.1928	1.4006	1.3156
IL12RB2	1.1264	2.2315	1.3321	-2.1851	-1.0953	1.1466	-1.3746	-1.2047	1.07	-1.514	1.1939	-1.6659	1.8063	2.7728	1.3488	1.226	1.3004	1.4921	1.0609	1.3454	-1.1578	1.1463	1.5797
IL13	0	0	0	0	1.0466	0	-4.2752	0	2.2558	0	0	0	0	-3.9059	0	0	0	0	0	0	0	0	-2.1351
IL15	1.2498	1.7231	-1.4038	-2.1595	1.2559	2.8212	2.2423	-1.4336	1.2106	4.2477	3.7004	3.807	1.5911	1.0478	4.2713	1.0119	1.0231	2.8567	2.7026	1.8583	-1.2195	1.7938	2.2953
IL15RA	1.0887	1.5856	-1.4343	-2.1805	-1.165	2.0985	1.4814	-1.0895	1.1381	1.8605	1.5451	-1.1371	1.0077	2.4921	2.0701	-1.0644	-1.3775	1.8939	1.7451	1.0338	1.1548	2.2023	1.8605
IL16	-1.5004	2.5615	2.2921	-1.3247	1.1132	1.3162	2.0307	1.5501	1.0039	1.2655	6.8432	3.2035	1.1004	-3.1947	2.954	1.3213	-1.0541	1.3503	1.6986	2.3554	-1.123	-1.1892	2.1866
IL17A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL17F	0	0	0	0	0	0	0	1.9417	0	1.2965	-1.0107	-2.0298	1.6518	-7.0993	3.3815	1.9346	0	-1.1303	2.4903	0	0	0	0
IL1A	0	0	0	1.8079	0	0	1.1479	0	0	0	0	0	1.2492	-2.2403	0	0	0	0	0	0	0	0	0
IL1B	1.7565	4.2782	-1.3989	-2.7581	1.4149	-1.1421	11.5195	-2.8832	1.604	3.1354	-1.788	2.0672	-2.3685	-20.8311	1.8476	-1.257	1.4449	4.165	1.7199	3.2087	-1.0862	1.8429	1.2446
IL1R1	-1.4009	1.2897	3.3396	-1.5764	1.184	1.3262	3.2378	1.5848	-1.3654	-1.8446	8.4953	1.0229	0	-7.504	0	0	2.042	-1.8476	1.4523	3.2221	1.4546	-1.1884	2.0917
IL1R2	-1.5794	1.1142	-1.0646	-1.2173	1.2377	1.708	8.6458	1.2873	-1.4145	-1.2145	1.3877	2.1048	1.2337	-30.8814	1.5764	-1.0585	1.6609	1.7427	4.6214	1.4025	1.0137	3.4366	-1.7295
IL1RN	0	3.4726	0	-1.4416	0	1.2366	43.4414	3.1217	0	20.2615	4.1892	-1.3143	0	-23.7798	4.361	1.3899	0	22.5543	10.5366	2.3473	0	4.0139	2.4566
IL2	-1.2652	-1.1392	-1.058	-4.4127	1.8515	2.499	-9.9728	-1.6457	1.0109	1.4386	2.5663	1.091	3.4774	28.6673	1.3037	-2.052	1.031	3.8566	-1.013	-4.7404	-1.0212	1.2501	-1.3134
IL20	0	0	0	0	-1.3654	0	-3.915	-1.8451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL21	-1.4777	6.3908	1.7215	-6.9051	-2.5007	6.9371	-3.4702	-1.1856	0	1.4217	3.4454	-2.5042	4.6332	2.3397	4.301	-1.5659	2.4863	6.4012	4.9979	4.4722	0	1.6189	-1.3902
IL2RA	-1.0639	-2.4691	-3.7486	-3.0035	-1.6092	1.0107	-1.6324	-1.3056	-1.3626	3.2573	1.0074	-2.1233	-1.0673	1.8834	-1.2669	-1.7339	-1.0246	2.144	1.1961	-1.5659	1.1194	-1.271	1.0956
IL2RB	1.8515	16.7026	2.4094	1.1944	1.2446	8.6959	2.4385	3.822	0	5.5468	9.0296	0	0	-4.8322	5.4553	1.3426	-1.7581	6.6591	14.564	5.3147	0	3.6706	9.3545
IL2RG	-1.1371	11.6157	2.3338	-2.2248	1.6029	2.4509	11.4637	1.4869	-1.2909	5.0095	12.9481	5.0374	1.3022	-4.465	12.3519	2.2115	-5.6022	5.878	7.7615	5.2707	-1.141	4.1039	7.7043
IL3	0	0	-1.5458	-1.0032	2.6604	0	-8.3051	2.4938	3.5967	0	-1.1037	0	0	0	0	1.0996	0	0	0	-1.0119	0	0	1.1397
IL4	1.1524	1.0504	-1.4583	-4.0241	-1.3053	1.8562	-1.9053	1.2255	-1.1037	-1.1506	2.4228	1.4456	1.2363	-2.1942	2.2778	1.3967	1.6935	1.3883	1.298	-1.0042	1.0343	2.1038	3.0098
IL5	0	0	0	1.5522	2.1957	0	-2.9302	1.7905	0	0	0	1.0451	0	0	0	0	1.2159	0	0	0	0	0	0
IL5RA	0	0	0	0	1.2148	0	-3.9177	0	0	0	0	0	0	-3.142	0	-1.3004	0	0	0	0	0	0	-1.0772
IL6	-1.0795	1.7363	-1.5161	-1.408	1.699	-1.3915	1.857	1.2136	1.3563	-1.8536	1.2309	1.4945	1.1631	-9.4589	1.0215	-1.1305	1.2	-1.0032	1.0765	1.325	-1.4293	1.431	1.4935
IL6R	-1.1626	2.1421	-2.3011	-1.5154	-2.0624	-1.1791	-1.9212	-1.0286	-1.0051	-1.4523	-1.2962	1.5558	1.0345	-1.2628	1.4149	-1.4241	1.1851	1.0009	-1.1873	1.1313	1.1311	1.5659	-1.3522
IL7	1.7528	3.6301	2.7734	-1.7946	-1.0156	2.2569	4.8635	3.8167	1.2173	2.9973	15.398	6.6284	1.8974	-2.6864	6.1589	2.4217	1.3041	1.7634	2.9656	2.9506	-1.1626	1.8648	4.166
IL8	-1.1152	1.8712	0	1.7379	0	1.1183	63.9113	-1.2343	0	-1.6845	1.2611	8.5189	1.4948	-85.6669	1.2707	1.3822	-1.5933	-1.1548	-1.0379	1.4132	-1.3797	2.184	2.7773
IL8RB	-4.8849	5.7398	7.9594	-1.4158	2.0051	1.7199	2.8759	1.8268	1.269	3.9742	17.2996	7.4729	1.4753	-9.0735	1.3819	1.7136	-2.1931	2.1545	1.9512	1.7399	-1.106	1.3784	2.6623
IL9R	0	3.0994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC708339	0	1.7005	1.5797	0	0	0	2.6907	0	0	0	2.785	0	0	-9.1684	-1.0976	0	0	-2.8396	-1.1132	-1.0224	0	0	0
LOC710618	0	0	0	-1.6174	0	0	0	1.9431	0	0	0	0	0	0	0	-1.6841	0	0	0	0	0	0	0
LOC712292	0	0	0	0	0	0	0	1.4614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC714751	1.5569	5.6295	2.3289	1.6249	1.8285	5.3567	-2.1184	2.8193	59.7003	9.7383	3.3211	-2.0796	-1.0875	-36.572	3.6242	0	-1.0367	4.3691	2.5321	1.7387	0	4.4753	2.6093
LOC716099	1.8682	-1.432	1.242	1.5826	-2.3757	1.3401	7.9337	1.2027	0	-1.6498	3.4098	2.0134	0	-29.1953	0	4.2841	1.3416	-4.5525	1.6775	-3.134	1.0272	-1.46	-2.3806
LTA	1.8682	2.0562	0	0	1.3385	0	-2.858	0	0	0	1.632	-2.2166	0	0	1.1225	-1.3909	-2.0153	2.0172	1.8408	1.1088	0	-1.0815	1.781
MIF	1.0835	1.7654	1.07	-1.3488	-1.2434	-1.094	1.6099	-1.1532	1.2156	-1.0609	2.1445	-1.1137	1.2226	-4.9887	1.2585	1.0629	1.257	-1.3348	-1.0663	1.129	1.1116	1.0217	1.0933
NAMPT	1.0032	-1.5379	-1.3503	-1.2164	-1.1944	-1.1373	-1.8687	-1.4852	1.0095	1.1766	-1.4185	2.2574	1.014	1.9123	-1.1402	-1.3241	-1.0989	1.0262	-1.2148	-1.0755	1.2249	1.3803	-1.05
OSM	0	0	0	0	-1.0514	0	5.2162	1.575	0	1.301	0	-1.8319	0	-34.4556	-1.1498	0	0	1.1986	-1.15	1.2906	0	0	0
PF4	-1.3893	-5.0281	-1.0298	-4.0577	2.2621	-1.4188	1.1345	-2.3225	-2.7289	-6.0811	-11.6023	7.0649	2.2974	-1.3686	1.6908	1.0556	-2.1825	3.6536	-3.0307	1.1431	-2.6746	-1.4621	-1.6092
SPP1	1.0948	-1.3632	1.4526	-2.1565	1.6919	-1.23	196.72	-1.7263	1.154	-2.4834	2.2186	6.2405	2.1585	-47.133	3.6469	-1.0807	1.8545	1.4057	-2.5485	2.8382	1.4852	2.6666	3.752
TNF	0	3.3893	4.8962	1.2044	-1.1944	4.9291	3.9917	1.9471	1.262	4.8928	11.5088	2.7032	-2.3198	-6.8908	10.8053	-1.2968	-3.9204	6.966	19.204	2.3702	1.4668	7.1058	4.886
TNFRSF11B	-1.7403	-17.0654	-1.1538	1.2229	1.0025	2.3478	2.0378	1.2374	1.4698	-4.0232	2.9911	12.5591	1.2808	-28.1423	-1.1091	2.0648	9.4283	-3.073	-1.7736	3.2784	-2.9106	1.7691	2.8219
TNFSF10	1.0872	1.6923	-1.397	-2.5309	-1.373	1.1418	-1.0526	-1.4516	1.0887	2.2652	3.2709	4.3792	1.1188	-2.5592	1.893	1.3259	-1.1559	1.0456	1.1402	1.351	1.07	1.5933	1.035
TNFSF11	0	4.5536	2.0859	0	1.0053	1.3532	8.3745	1.8549	0	3.8951	4.0916	1.7996	0	-114.2988	5.4026	0	-1.452	10.1074	9.1726	2.856	0	1.3149	3.6494
TNFSF13B	-1.0269	9.8151	3.5398	-2.1987	1.9503	4.1478	7.0665	2.831	-2.9595	11.2252	32.6648	11.5328	-1.0755	-8.0426	10.3939	3.3288	1.4907	1.988	9.0526	3.8291	2.3322	3.2671	5.0304
TNFSF14	1.0495	4.6686	1.4976	-2.0615	1.0517	-1.0194	3.2761	1.3797	1.528	-1.0885	2.0232	-2.2104	2.7302	-2.816	2.2341	-3.2739	-2.4572	1.3864	2.0312	1.2693	-2.9697	1.0867	1.3119
TNFSF4	-1.0262	2.6317	-1.0291	-1.7167	-1.0631	1.3281	1.9643	-1.6208	1.2876	1.0144	1.1873	2.3696	1.6211	-3.2595	1.4914	1.1503	-2.0364	1.5171	-1.0293	1.2843	-1.234	-1.1212	1.6174
VEGFA	-1.0551	-1.4959	-3.3066	-2.8141	-1.1022	1.3244	-3.0546	-1.9194	1.0994	-1.5309	-2.3171	1.6744	1.0468	1.7843	-1.0405	-1.1416	-1.4211	-1.3256	-1.0437	-2.0907	1.4346	1.2553	-1.4224
XCL1	2.8102	9.0882	2.4464	-1.5918	-2.1396	8.5821	9.5467	3.2498	0	13.8102	14.2775	19.7895	-1.0504	-1.4811	49.3052	1.8764	-1.5084	15.193	65.9515	9.4742	-1.5914	3.9395	13.147
